architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
narrow_11,mnist_6_vs_8,500,26,0.9875776171684265,-714175593.5,,narrow_11_mnist_6_vs_8_k500_m26
narrow_11,mnist_6_vs_8,500,27,0.9875776171684265,-731523670.5,,narrow_11_mnist_6_vs_8_k500_m27
narrow_11,mnist_6_vs_8,500,28,0.988095223903656,-739940745.0,,narrow_11_mnist_6_vs_8_k500_m28
narrow_11,mnist_6_vs_8,500,29,0.9865424633026123,-733050889.1666666,,narrow_11_mnist_6_vs_8_k500_m29
narrow_11,mnist_6_vs_8,500,30,0.9870600700378418,-731427935.0,,narrow_11_mnist_6_vs_8_k500_m30
narrow_11,mnist_6_vs_8,500,31,0.9834368824958801,-720271321.1666666,,narrow_11_mnist_6_vs_8_k500_m31
narrow_11,mnist_6_vs_8,500,32,0.9886128306388855,-749765410.8333334,,narrow_11_mnist_6_vs_8_k500_m32
narrow_11,mnist_6_vs_8,500,33,0.9855072498321533,-739870840.3333334,,narrow_11_mnist_6_vs_8_k500_m33
narrow_11,mnist_6_vs_8,500,34,0.9896480441093445,-737132064.3333334,,narrow_11_mnist_6_vs_8_k500_m34
narrow_11,mnist_6_vs_8,500,35,0.990165650844574,-733826673.3333334,,narrow_11_mnist_6_vs_8_k500_m35
narrow_11,mnist_6_vs_8,500,36,0.9875776171684265,-735918806.5,,narrow_11_mnist_6_vs_8_k500_m36
narrow_11,mnist_6_vs_8,500,37,0.9860248565673828,-720646005.3333334,,narrow_11_mnist_6_vs_8_k500_m37
narrow_11,mnist_6_vs_8,500,38,0.988095223903656,-720713753.5,,narrow_11_mnist_6_vs_8_k500_m38
narrow_11,mnist_6_vs_8,500,39,0.9896480441093445,-749621081.3333334,,narrow_11_mnist_6_vs_8_k500_m39
narrow_11,mnist_6_vs_8,500,40,0.989130437374115,-721614566.8333334,,narrow_11_mnist_6_vs_8_k500_m40
narrow_11,mnist_6_vs_8,500,41,0.9870600700378418,-722827761.8333334,,narrow_11_mnist_6_vs_8_k500_m41
narrow_11,mnist_6_vs_8,500,42,0.989130437374115,-729396857.5,,narrow_11_mnist_6_vs_8_k500_m42
narrow_11,mnist_6_vs_8,500,43,0.989130437374115,-728099880.5,,narrow_11_mnist_6_vs_8_k500_m43
narrow_11,mnist_6_vs_8,500,44,0.989130437374115,-710587030.8333334,,narrow_11_mnist_6_vs_8_k500_m44
narrow_11,mnist_6_vs_8,500,45,0.988095223903656,-729863668.6666666,,narrow_11_mnist_6_vs_8_k500_m45
narrow_11,mnist_6_vs_8,500,46,0.988095223903656,-740365171.0,,narrow_11_mnist_6_vs_8_k500_m46
narrow_11,mnist_6_vs_8,500,47,0.989130437374115,-745020254.3333334,,narrow_11_mnist_6_vs_8_k500_m47
narrow_11,mnist_6_vs_8,500,48,0.9849896430969238,-711313052.5,,narrow_11_mnist_6_vs_8_k500_m48
narrow_11,mnist_6_vs_8,500,49,0.9875776171684265,-724628032.6666666,,narrow_11_mnist_6_vs_8_k500_m49
narrow_11,mnist_6_vs_8,500,50,0.990165650844574,-735863327.8333334,,narrow_11_mnist_6_vs_8_k500_m50
narrow_11,mnist_6_vs_8,500,51,0.9886128306388855,-729007457.5,,narrow_11_mnist_6_vs_8_k500_m51
narrow_11,mnist_6_vs_8,500,52,0.9896480441093445,-730234906.8333334,,narrow_11_mnist_6_vs_8_k500_m52
narrow_11,mnist_6_vs_8,500,53,0.9860248565673828,-721038334.1666666,,narrow_11_mnist_6_vs_8_k500_m53
narrow_11,mnist_6_vs_8,500,54,0.989130437374115,-726729436.8333334,,narrow_11_mnist_6_vs_8_k500_m54
narrow_11,mnist_6_vs_8,500,55,0.9865424633026123,-745973761.1666666,,narrow_11_mnist_6_vs_8_k500_m55
narrow_11,mnist_6_vs_8,500,56,0.9875776171684265,-714439902.0,,narrow_11_mnist_6_vs_8_k500_m56
narrow_11,mnist_6_vs_8,500,57,0.9912008047103882,-740670103.8333334,,narrow_11_mnist_6_vs_8_k500_m57
narrow_11,mnist_6_vs_8,500,58,0.9875776171684265,-724825524.6666666,,narrow_11_mnist_6_vs_8_k500_m58
narrow_11,mnist_6_vs_8,500,59,0.9875776171684265,-740428307.0,,narrow_11_mnist_6_vs_8_k500_m59
narrow_11,mnist_6_vs_8,500,60,0.990165650844574,-728004884.6666666,,narrow_11_mnist_6_vs_8_k500_m60
narrow_11,mnist_6_vs_8,500,61,0.988095223903656,-730297020.0,,narrow_11_mnist_6_vs_8_k500_m61
narrow_11,mnist_6_vs_8,500,62,0.9886128306388855,-739510972.1666666,,narrow_11_mnist_6_vs_8_k500_m62
narrow_11,mnist_6_vs_8,500,63,0.9860248565673828,-716177543.1666666,,narrow_11_mnist_6_vs_8_k500_m63
narrow_11,mnist_6_vs_8,500,64,0.9865424633026123,-730598421.1666666,,narrow_11_mnist_6_vs_8_k500_m64
narrow_11,mnist_6_vs_8,500,65,0.9896480441093445,-734722679.5,,narrow_11_mnist_6_vs_8_k500_m65
narrow_11,mnist_6_vs_8,500,66,0.9922360181808472,-742846960.6666666,,narrow_11_mnist_6_vs_8_k500_m66
narrow_11,mnist_6_vs_8,500,67,0.989130437374115,-734727882.0,,narrow_11_mnist_6_vs_8_k500_m67
narrow_11,mnist_6_vs_8,500,68,0.9886128306388855,-715538930.5,,narrow_11_mnist_6_vs_8_k500_m68
narrow_11,mnist_6_vs_8,500,69,0.9886128306388855,-727354638.8333334,,narrow_11_mnist_6_vs_8_k500_m69
wide_5,mnist_1_vs_7,400,0,0.9919999837875366,-530262764.3333333,,wide_5_mnist_1_vs_7_k400_m0
